ts_iso,dir,can_id,dlc,data_hex
2025-08-10T16:00:09.062,RX,0x064,6,01 77 71 80 07 F7,1,30577,128,7,247,,,,smc6
2025-08-10T16:00:09.169,RX,0x064,6,01 77 71 80 08 07,1,30577,128,8,7,,,,smc6
2025-08-10T16:00:09.271,RX,0x064,6,01 77 71 80 08 07,1,30577,128,8,7,,,,smc6
2025-08-10T16:00:09.378,RX,0x064,6,01 77 71 80 08 0B,1,30577,128,8,11,,,,smc6
2025-08-10T16:00:09.480,RX,0x064,6,01 77 71 80 08 38,1,30577,128,8,56,,,,smc6
2025-08-10T16:00:09.584,RX,0x064,6,01 77 71 80 08 2A,1,30577,128,8,42,,,,smc6
2025-08-10T16:00:09.688,RX,0x064,6,01 77 71 80 08 0C,1,30577,128,8,12,,,,smc6
2025-08-10T16:00:09.805,RX,0x064,6,01 77 71 80 07 EC,1,30577,128,7,236,,,,smc6
2025-08-10T16:00:09.907,RX,0x064,6,01 77 71 80 07 C4,1,30577,128,7,196,,,,smc6
2025-08-10T16:00:10.008,RX,0x064,6,01 77 71 80 07 FC,1,30577,128,7,252,,,,smc6
2025-08-10T16:00:10.110,RX,0x064,6,01 77 71 80 08 39,1,30577,128,8,57,,,,smc6
2025-08-10T16:00:10.213,RX,0x064,6,01 77 71 80 07 DF,1,30577,128,7,223,,,,smc6
2025-08-10T16:00:10.314,RX,0x064,6,01 77 71 80 07 E3,1,30577,128,7,227,,,,smc6
2025-08-10T16:00:10.421,RX,0x064,6,01 77 71 80 07 E8,1,30577,128,7,232,,,,smc6
2025-08-10T16:00:10.522,RX,0x064,6,01 77 71 80 07 F4,1,30577,128,7,244,,,,smc6
2025-08-10T16:00:10.623,RX,0x064,6,01 77 71 80 07 C6,1,30577,128,7,198,,,,smc6
2025-08-10T16:00:10.724,RX,0x064,6,01 77 71 80 07 FD,1,30577,128,7,253,,,,smc6
2025-08-10T16:00:10.827,RX,0x064,6,01 77 71 80 08 34,1,30577,128,8,52,,,,smc6
2025-08-10T16:00:10.928,RX,0x064,6,01 77 71 80 07 F4,1,30577,128,7,244,,,,smc6
