ts_ms,raw_hex,driver_id,pos_rad,vel_rad_s,tau_Nm,pos_raw_i16,vel_raw_s12,tau_raw_s12
1754831881612,01 7E 15 7F 68 4A,1,12.313074,64.714216,-17.358085,32277,2038,-1974
1754831881625,01 7D F1 7F C8 18,1,12.299341,64.904739,-17.797753,32241,2044,-2024
1754831881638,01 7D F1 7F C8 18,1,12.299341,64.904739,-17.797753,32241,2044,-2024
1754831881649,01 7D F1 7F C8 18,1,12.299341,64.904739,-17.797753,32241,2044,-2024
1754831881661,01 7D F1 7F C8 18,1,12.299341,64.904739,-17.797753,32241,2044,-2024
1754831881674,01 7D F1 7F C8 18,1,12.299341,64.904739,-17.797753,32241,2044,-2024
1754831881686,01 7D F1 7F C8 18,1,12.299341,64.904739,-17.797753,32241,2044,-2024
1754831881699,01 7D F1 7F C8 18,1,12.299341,64.904739,-17.797753,32241,2044,-2024
1754831881715,01 7D F1 7F C8 18,1,12.299341,64.904739,-17.797753,32241,2044,-2024
1754831881730,01 7D ED 80 28 36,1,12.297815,-64.968246,-17.533952,32237,-2046,-1994
1754831881742,01 7D ED 80 28 36,1,12.297815,-64.968246,-17.533952,32237,-2046,-1994
1754831881755,01 7D ED 80 28 36,1,12.297815,-64.968246,-17.533952,32237,-2046,-1994
1754831881766,01 7D ED 80 28 36,1,12.297815,-64.968246,-17.533952,32237,-2046,-1994
1754831881780,01 7D ED 80 28 36,1,12.297815,-64.968246,-17.533952,32237,-2046,-1994
1754831881794,01 7D ED 80 28 36,1,12.297815,-64.968246,-17.533952,32237,-2046,-1994
1754831881807,01 7D ED 80 28 36,1,12.297815,-64.968246,-17.533952,32237,-2046,-1994
1754831881819,01 7D ED 80 28 36,1,12.297815,-64.968246,-17.533952,32237,-2046,-1994
1754831881831,01 7E 0D 80 E8 39,1,12.310022,-64.587201,-17.507572,32269,-2034,-1991
1754831881844,01 7E 0D 80 E8 39,1,12.310022,-64.587201,-17.507572,32269,-2034,-1991
1754831881856,01 7E 0D 80 E8 39,1,12.310022,-64.587201,-17.507572,32269,-2034,-1991
1754831881869,01 7E 0D 80 E8 39,1,12.310022,-64.587201,-17.507572,32269,-2034,-1991
1754831881881,01 7E 0D 80 E8 39,1,12.310022,-64.587201,-17.507572,32269,-2034,-1991
1754831881893,01 7E 0D 80 E8 39,1,12.310022,-64.587201,-17.507572,32269,-2034,-1991
1754831881906,01 7E 0D 80 E8 39,1,12.310022,-64.587201,-17.507572,32269,-2034,-1991
1754831881918,01 7E 0D 80 E8 39,1,12.310022,-64.587201,-17.507572,32269,-2034,-1991
1754831881934,01 7E 4F 80 D8 42,1,12.335200,-64.618955,-17.428432,32335,-2035,-1982
1754831881946,01 7E 4F 80 D8 42,1,12.335200,-64.618955,-17.428432,32335,-2035,-1982
1754831881959,01 7E 4F 80 D8 42,1,12.335200,-64.618955,-17.428432,32335,-2035,-1982
1754831881972,01 7E 4F 80 D8 42,1,12.335200,-64.618955,-17.428432,32335,-2035,-1982
1754831881983,01 7E 4F 80 D8 42,1,12.335200,-64.618955,-17.428432,32335,-2035,-1982
1754831881996,01 7E 4F 80 D8 42,1,12.335200,-64.618955,-17.428432,32335,-2035,-1982
1754831882010,01 7E 4F 80 D8 42,1,12.335200,-64.618955,-17.428432,32335,-2035,-1982
1754831882022,01 7E 4F 80 D8 42,1,12.335200,-64.618955,-17.428432,32335,-2035,-1982
1754831882033,01 7E 95 81 08 18,1,12.361904,-64.523693,-17.797753,32405,-2032,-2024
1754831882046,01 7E 95 81 08 18,1,12.361904,-64.523693,-17.797753,32405,-2032,-2024
1754831882058,01 7E 95 81 08 18,1,12.361904,-64.523693,-17.797753,32405,-2032,-2024
1754831882072,01 7E 95 81 08 18,1,12.361904,-64.523693,-17.797753,32405,-2032,-2024
1754831882084,01 7E 95 81 08 18,1,12.361904,-64.523693,-17.797753,32405,-2032,-2024
1754831882095,01 7E 95 81 08 18,1,12.361904,-64.523693,-17.797753,32405,-2032,-2024
1754831882108,01 7E 95 81 08 18,1,12.361904,-64.523693,-17.797753,32405,-2032,-2024
1754831882120,01 7E 95 81 08 18,1,12.361904,-64.523693,-17.797753,32405,-2032,-2024
1754831882134,01 7E D4 80 D8 09,1,12.385937,-64.618955,-17.929653,32468,-2035,-2039
1754831882146,01 7E D4 80 D8 09,1,12.385937,-64.618955,-17.929653,32468,-2035,-2039
1754831882159,01 7E D4 80 D8 09,1,12.385937,-64.618955,-17.929653,32468,-2035,-2039
1754831882171,01 7E D4 80 D8 09,1,12.385937,-64.618955,-17.929653,32468,-2035,-2039
1754831882183,01 7E D4 80 D8 09,1,12.385937,-64.618955,-17.929653,32468,-2035,-2039
1754831882195,01 7E D4 80 D8 09,1,12.385937,-64.618955,-17.929653,32468,-2035,-2039
1754831882207,01 7E D4 80 D8 09,1,12.385937,-64.618955,-17.929653,32468,-2035,-2039
1754831882218,01 7E D4 80 D8 09,1,12.385937,-64.618955,-17.929653,32468,-2035,-2039
1754831882230,01 7F 02 80 57 AC,1,12.403485,-64.872985,17.270151,32514,-2043,1964
1754831882242,01 7F 02 80 57 AC,1,12.403485,-64.872985,17.270151,32514,-2043,1964
1754831882255,01 7F 02 80 57 AC,1,12.403485,-64.872985,17.270151,32514,-2043,1964
1754831882266,01 7F 02 80 57 AC,1,12.403485,-64.872985,17.270151,32514,-2043,1964
1754831882279,01 7F 02 80 57 AC,1,12.403485,-64.872985,17.270151,32514,-2043,1964
1754831882293,01 7F 02 80 57 AC,1,12.403485,-64.872985,17.270151,32514,-2043,1964
1754831882307,01 7F 02 80 57 AC,1,12.403485,-64.872985,17.270151,32514,-2043,1964
1754831882320,01 7F 02 80 57 AC,1,12.403485,-64.872985,17.270151,32514,-2043,1964
1754831882332,01 7F 2C 80 B8 0C,1,12.419507,-64.682462,-17.903273,32556,-2037,-2036
1754831882345,01 7F 2C 80 B8 0C,1,12.419507,-64.682462,-17.903273,32556,-2037,-2036
1754831882356,01 7F 2C 80 B8 0C,1,12.419507,-64.682462,-17.903273,32556,-2037,-2036
1754831882369,01 7F 2C 80 B8 0C,1,12.419507,-64.682462,-17.903273,32556,-2037,-2036
1754831882382,01 7F 2C 80 B8 0C,1,12.419507,-64.682462,-17.903273,32556,-2037,-2036
1754831882395,01 7F 2C 80 B8 0C,1,12.419507,-64.682462,-17.903273,32556,-2037,-2036
1754831882407,01 7F 2C 80 B8 0C,1,12.419507,-64.682462,-17.903273,32556,-2037,-2036
1754831882420,01 7F 2C 80 B8 0C,1,12.419507,-64.682462,-17.903273,32556,-2037,-2036
1754831882431,01 7F 47 80 57 C1,1,12.429807,-64.872985,17.454812,32583,-2043,1985
1754831882446,01 7F 47 80 57 C1,1,12.429807,-64.872985,17.454812,32583,-2043,1985
1754831882458,01 7F 47 80 57 C1,1,12.429807,-64.872985,17.454812,32583,-2043,1985
1754831882471,01 7F 47 80 57 C1,1,12.429807,-64.872985,17.454812,32583,-2043,1985
1754831882484,01 7F 47 80 57 C1,1,12.429807,-64.872985,17.454812,32583,-2043,1985
1754831882499,01 7F 47 80 57 C1,1,12.429807,-64.872985,17.454812,32583,-2043,1985
1754831882512,01 7F 47 80 57 C1,1,12.429807,-64.872985,17.454812,32583,-2043,1985
1754831882524,01 7F 47 80 57 C1,1,12.429807,-64.872985,17.454812,32583,-2043,1985
1754831882538,01 7F 5D 80 07 E5,1,12.438200,-65.031754,17.771373,32605,-2048,2021
1754831882551,01 7F 5D 80 07 E5,1,12.438200,-65.031754,17.771373,32605,-2048,2021
1754831882563,01 7F 5D 80 07 E5,1,12.438200,-65.031754,17.771373,32605,-2048,2021
1754831882575,01 7F 5D 80 07 E5,1,12.438200,-65.031754,17.771373,32605,-2048,2021
1754831882587,01 7F 5D 80 07 E5,1,12.438200,-65.031754,17.771373,32605,-2048,2021
1754831882598,01 7F 5D 80 07 E5,1,12.438200,-65.031754,17.771373,32605,-2048,2021
1754831882610,01 7F 5D 80 07 E5,1,12.438200,-65.031754,17.771373,32605,-2048,2021
1754831882623,01 7F 5D 80 07 E5,1,12.438200,-65.031754,17.771373,32605,-2048,2021
1754831882635,01 7F 8A 81 F8 15,1,12.455367,-64.047386,-17.824133,32650,-2017,-2027
1754831882647,01 7F 8A 81 F8 15,1,12.455367,-64.047386,-17.824133,32650,-2017,-2027
1754831882659,01 7F 8A 81 F8 15,1,12.455367,-64.047386,-17.824133,32650,-2017,-2027
1754831882672,01 7F 8A 81 F8 15,1,12.455367,-64.047386,-17.824133,32650,-2017,-2027
1754831882683,01 7F 8A 81 F8 15,1,12.455367,-64.047386,-17.824133,32650,-2017,-2027
1754831882694,01 7F 8A 81 F8 15,1,12.455367,-64.047386,-17.824133,32650,-2017,-2027
1754831882707,01 7F 8A 81 F8 15,1,12.455367,-64.047386,-17.824133,32650,-2017,-2027
1754831882721,01 7F 8A 81 F8 15,1,12.455367,-64.047386,-17.824133,32650,-2017,-2027
